NUM_SUB_KERNELS,SAMPLE_PER_STUDENT,NUM_STUDENTS,seed,pref_thresh,alg,seats,nash,zeros,min_val,PMMS_violations,PMMS_agents,EF_violations,EF_agents,EF1_violations,EF1_agents,EFX_violations,EFX_agents,runtime
1,10,2308,0,10,RR,7002.0,2.806683638266103,48,0,452,42,15432,424,633,58,10713,247,374.6706552505493
1,10,2308,10,10,RR,6929.0,2.755526649841978,36,0,393,35,12642,408,580,52,8049,212,367.62064027786255
1,10,2308,0,10,SD,6905.0,2.832026474332486,112,0,9447,220,48037,525,10110,259,42205,438,101.46314120292664
1,10,2308,10,10,SD,6878.0,2.805174575055236,99,0,7559,207,41477,514,8530,246,35796,423,99.6439471244812
1,10,2308,0,10,YS,7146.0,2.881014804992851,0,1,0,0,3367,331,0,0,7,6,949.0394484996796
1,10,2308,10,10,YS,7128.0,2.8742507036760063,0,1,0,0,3124,347,0,0,9,4,937.3514759540558
1,10,2308,1,10,RR,6897.0,2.7479634174109693,42,0,508,42,15854,410,744,57,10335,230,366.66284012794495
1,10,2308,11,10,RR,6963.0,2.7843069960045326,38,0,700,43,14562,427,925,63,9650,245,379.53653168678284
1,10,2308,1,10,SD,6842.0,2.804240012481823,108,0,7777,192,41255,523,8395,232,35489,434,99.03922176361084
1,10,2308,11,10,SD,6880.0,2.8301081552830274,110,0,8989,225,47437,531,9956,276,41477,450,104.35787272453308
1,10,2308,1,10,YS,7136.0,2.8625021846924454,0,1,0,0,2913,372,0,0,13,5,959.5596642494202
1,10,2308,11,10,YS,7124.0,2.880701614860975,0,1,0,0,2776,327,0,0,22,2,972.2091941833496
1,10,2308,12,10,RR,6950.0,2.766491463165042,42,0,632,50,15765,484,736,61,9884,279,377.0443751811981
1,10,2308,2,10,RR,6970.0,2.77270357875457,33,0,982,47,16480,433,1135,60,10316,241,382.092937707901
1,10,2308,12,10,SD,6902.0,2.817825678944198,109,0,10446,236,51183,550,11864,287,44677,463,102.22322463989258
1,10,2308,2,10,SD,6932.0,2.825394994178955,102,0,10901,236,50573,550,11822,284,43871,444,104.82566714286804
