NUM_STUDENTS,seed,pref_thresh,alg,seats,nash,zeros,runtime
471,10,0,SD,1403.0,2.85525779574615,29,22.933303594589233
471,10,0,RR,1418.0,2.764219958606494,9,82.64512753486633
471,10,0,ILP,1448.0,2.8313635439288722,14,850.658234834671
471,10,0,YS,1448.0,2.8720401730028486,0,215.68903851509094
471,10,1,SD,1403.0,2.8067197413062956,23,21.67581343650818
471,10,1,RR,1419.0,2.782334081186965,8,81.43075704574585
471,10,1,ILP,1438.0,2.783378098496939,15,1808.7491343021393
471,10,1,YS,1438.0,2.8598691725871053,0,205.37247157096863
471,10,2,SD,1402.0,2.807153447275442,23, 23.23099946975708
471,10,2,RR,1420.0,2.7737278193980774,5,83.27182912826538
471,10,2,ILP,1462.0,2.824343695667723,10,896.7993409633636
471,10,2,YS,1462.0,2.9009506691226044,0,223.43813610076904
471,10,3,SD,1390.0,2.7639129753225924,21,21.199604749679565
471,10,3,RR,1403.0,2.7404481453243115,8,79.55698657035828
471,10,3,ILP,1434.0,2.825692377843453,19,1863.1693713665009
471,10,3,YS,1434.0,2.832207233065838,0,202.31677389144897
471,10,4,SD,1402.0,2.8172847444898945,25,20.97735857963562
471,10,4,RR,1415.0,2.754640348270836,6,79.50899815559387
471,10,4,ILP,1448.0,2.8040154705364335,10,2244.7410905361176
471,10,4,YS,1448.0,2.8639161987481963,0,197.16988682746887
471,10,5,SD,1403.0,2.828395499410974,24,21.063600778579712
471,10,5,RR,1419.0,2.7708772063739158,7,80.41640853881836
471,10,5,ILP,1461.0,2.864821499028042,14,2433.874564409256
471,10,5,YS,1461.0,2.897428931827608,0,201.82831525802612
471,10,6,SD,1402.0,2.8331179601774332,27,20.229088306427002
471,10,6,RR,1420.0,2.7534066931674617,6,78.28810405731201
471,10,6,ILP,1441.0,2.809004523593155,14,2283.072541475296
471,10,6,YS,1441.0,2.8612175454758724,0,189.0819492340088
471,10,7,SD,1374.0,2.730569738787857,24,20.597643852233887
471,10,7,RR,1401.0,2.6938752297366424,5,79.6841173171997
471,10,7,ILP,1438.0,2.755919685653261,8,2514.3954162597656
471,10,7,YS,1445.0,2.835200993090116,0,200.7077991962433
471,10,8,SD,1413.0,2.846910689507617,23,20.04771637916565
471,10,8,RR,1422.0,2.769182296549142,5,78.49727988243103
471,10,8,ILP,1449.0,2.837589131803964,14,2378.6211869716644
471,10,8,YS,1449.0,2.8713220513105675,0,188.43209218978882
471,10,9,SD,1423.0,2.862763593844329,25,20.100800037384033
471,10,9,RR,1422.0,2.7759179919487202,8,79.53054642677307
471,10,9,ILP,1452.0,2.850597745907487,17,2436.404711484909
471,10,9,YS,1452.0,2.8730763617023602,0,192.3566484451294
2308,0,10,RR,7002.0,2.806683638266103,48,374.6706552505493
2308,0,10,SD,6905.0,2.832026474332486,112,101.46314120292664
2308,0,10,YS,7146.0,2.881014804992851,0,949.0394484996796
2308,1,10,RR,6897.0,2.7479634174109693,42,366.66284012794495
2308,1,10,SD,6842.0,2.804240012481823,108,99.03922176361084
2308,1,10,YS,7136.0,2.8625021846924454,0,959.5596642494202
2308,2,10,RR,6970.0,2.77270357875457,33,382.092937707901
2308,2,10,SD,6932.0,2.825394994178955,102,104.82566714286804
